# peelcost: trials=8 solver=ks_bmax_top16 heavy=6 seed=0xc057c0de
# cost model is a block-XOR proxy: matrix_xors + precode_gen + N*solve_width + solve_width^2/2 + H*solve_width
# precode schemes change width/generation estimates only; rank and constraint-row effects require precode_sim
N,bb,overhead,solver,structure,precode,D,ldpc_cols,dense_rows,H,trials,resid_cols_mu,resid_cols_max,resid_rows_mu,matrix_refs_mu,matrix_xors_mu,legacy_total_xors_mu,solve_width_mu,precode_gen_xors_mu,backsub_xors_mu,ge_block_xors_mu,heavy_muladds_mu,total_block_xors_mu
32000,1280,0,ks_bmax_top16,lt_m2_c256,dense,190,0,190,6,8,161.8750,236,161.8750,195864.2500,163864.2500,5371017.8750,357.8750,80475.0000,11452000.0000,64512.3125,2147.2500,11762998.8125
32000,1280,0,ks_bmax_top16,lt_m2_c256,ldpcdense,190,190,0,6,8,161.8750,236,161.8750,195864.2500,163864.2500,5371017.8750,357.8750,96190.0000,11452000.0000,64512.3125,2147.2500,11778713.8125
32000,1280,0,ks_bmax_top16,lt_m2_c512,dense,190,0,190,6,8,125.8750,142,125.8750,215958.0000,183958.0000,4227913.1250,321.8750,80475.0000,10300000.0000,51857.0625,1931.2500,10618221.3125
32000,1280,0,ks_bmax_top16,lt_m2_c512,ldpcdense,190,190,0,6,8,125.8750,142,125.8750,215958.0000,183958.0000,4227913.1250,321.8750,96190.0000,10300000.0000,51857.0625,1931.2500,10633936.3125
32000,1280,0,ks_bmax_top16,lt_m2_c1024,dense,190,0,190,6,8,109.2500,154,109.2500,237290.5000,205290.5000,3713607.0000,305.2500,80475.0000,9768000.0000,46779.2500,1831.5000,10102376.2500
32000,1280,0,ks_bmax_top16,lt_m2_c1024,ldpcdense,190,190,0,6,8,109.2500,154,109.2500,237290.5000,205290.5000,3713607.0000,305.2500,96190.0000,9768000.0000,46779.2500,1831.5000,10118091.2500
32000,1280,0,ks_bmax_top16,robust_d1_001_d2_003,dense,190,0,190,6,8,584.2500,623,584.2500,149659.8750,117659.8750,19155488.8750,780.2500,80475.0000,24968000.0000,304635.5000,4681.5000,25475451.8750
32000,1280,0,ks_bmax_top16,robust_d1_001_d2_003,ldpcdense,190,190,0,6,8,584.2500,623,584.2500,149659.8750,117659.8750,19155488.8750,780.2500,96190.0000,24968000.0000,304635.5000,4681.5000,25491166.8750
32000,1280,0,ks_bmax_top16,robust_d1_001_d2_012,dense,190,0,190,6,8,877.6250,941,877.6250,143216.6250,111216.6250,28967378.2500,1073.6250,80475.0000,34356000.0000,577303.3125,6441.7500,35131436.6875
32000,1280,0,ks_bmax_top16,robust_d1_001_d2_012,ldpcdense,190,190,0,6,8,877.6250,941,877.6250,143216.6250,111216.6250,28967378.2500,1073.6250,96190.0000,34356000.0000,577303.3125,6441.7500,35147151.6875
32000,1280,0,ks_bmax_top16,rs_c001_d50_c128,dense,190,0,190,6,8,214.6250,239,214.6250,176715.3750,144715.3750,7059004.2500,410.6250,80475.0000,13140000.0000,84418.9375,2463.7500,13452073.0625
32000,1280,0,ks_bmax_top16,rs_c001_d50_c128,ldpcdense,190,190,0,6,8,214.6250,239,214.6250,176715.3750,144715.3750,7059004.2500,410.6250,96190.0000,13140000.0000,84418.9375,2463.7500,13467788.0625
32000,1280,0,ks_bmax_top16,rs_c003_d10_c128,dense,190,0,190,6,8,188.8750,213,188.8750,181491.1250,149491.1250,6229373.2500,384.8750,80475.0000,12316000.0000,74168.5625,2309.2500,12622443.9375
32000,1280,0,ks_bmax_top16,rs_c003_d10_c128,ldpcdense,190,190,0,6,8,188.8750,213,188.8750,181491.1250,149491.1250,6229373.2500,384.8750,96190.0000,12316000.0000,74168.5625,2309.2500,12638158.9375
32000,1280,1,ks_bmax_top16,policy,dense,190,0,190,6,8,298.3750,353,299.3750,166831.3750,134830.3750,9773232.8750,494.3750,80475.0000,15820000.0000,122741.5625,2966.2500,16161013.1875
32000,1280,1,ks_bmax_top16,policy,ldpcdense,190,190,0,6,8,298.3750,353,299.3750,166831.3750,134830.3750,9773232.8750,494.3750,96190.0000,15820000.0000,122741.5625,2966.2500,16176728.1875
32000,1280,1,ks_bmax_top16,lt_m1_c16,dense,190,0,190,6,8,1341.2500,1394,1342.2500,113166.6250,81165.6250,44802826.8750,1537.2500,80475.0000,49192000.0000,1182253.0000,9223.5000,50545117.1250
32000,1280,1,ks_bmax_top16,lt_m1_c16,ldpcdense,190,190,0,6,8,1341.2500,1394,1342.2500,113166.6250,81165.6250,44802826.8750,1537.2500,96190.0000,49192000.0000,1182253.0000,9223.5000,50560832.1250
32000,1280,1,ks_bmax_top16,lt_m1_c32,dense,190,0,190,6,8,766.6250,800,767.6250,133110.7500,101109.7500,25222457.7500,962.6250,80475.0000,30804000.0000,463757.1875,5775.7500,31455117.6875
32000,1280,1,ks_bmax_top16,lt_m1_c32,ldpcdense,190,190,0,6,8,766.6250,800,767.6250,133110.7500,101109.7500,25222457.7500,962.6250,96190.0000,30804000.0000,463757.1875,5775.7500,31470832.6875
32000,1280,1,ks_bmax_top16,lt_m1_c64,dense,190,0,190,6,8,410.7500,431,411.7500,154059.1250,122058.1250,13435426.8750,606.7500,80475.0000,19416000.0000,184194.0000,3640.5000,19806367.6250
32000,1280,1,ks_bmax_top16,lt_m1_c64,ldpcdense,190,190,0,6,8,410.7500,431,411.7500,154059.1250,122058.1250,13435426.8750,606.7500,96190.0000,19416000.0000,184194.0000,3640.5000,19822082.6250
