# dispatch_profile: name=v1 bands=1 band0=k[2,64000]:mixed-p244-frozen-10x2-d4
# precodefail: trials=1 threads=1 loss=0 seed=0x1 completion=mixed mixed_period=244 mixed_gf256_rows=10 mixed_gf16_rows=2 mixed_geometry=frozen mixed_residue_skew=0 mixed_residue_schedule=constant mixed_residue_hash_seed=0x0 mixed_residue_hash_keyed=0 mixed_independent_extension_residues=0 mixed_grouped_gf256_rows=0 mixed_grouped_gf256_row_mask=0x0 mixed_grouped_gf256_hash_seed=0x0 mixed_grouped_final_h_a_columns=0 mixed_residue_buckets_requested=auto mixed_extension_residue_seed_xor=0x4e source_hits_override=0 packet_peel_seed_xor=0x0 packet_peel_seed_table=none binary_dense_rows_override=4 binary_dense_two_anchor=0 binary_dense_two_anchor_phase=0 binary_dense_segmented_anchors=none gf256_heavy_rows_override=0 odd_packet_peel_seed_xor=0x0 packet_row_seed_multiplier=0x1 packet_row_seed_avalanche=0 seed_block_bytes_override=0 overhead_stream=salted full_payload_solve=0 schedule=iid
# untuned: construction_seed_explicit=0 construction_seed=0x0 construction_attempts=0 overhead_early_stop=0 encode_timing_reps=9 overhead_ladder_pct=0 overhead_ladder_min=0
N,bb,heavy_family,mix_count,overhead,trials,success,rank_fail,error,fail_rate,inact_mu,inact_max,binary_def_mu,binary_def_max,heavy_gain_mu,heavy_gain_min,heavy_shortfall,solve_ms_mu,build_ms_mu,peel_ms_mu,project_ms_mu,residual_ms_mu,backsub_ms_mu,seed_attempt,block_xors_mu,block_muladds_mu,first_rank_fail,binary_def_hist,heavy_gain_hist,failure_trials,active_packet_peel_seed_xor,mixed_joint_source_xors_mu,mixed_joint_marginal_xors_mu,mixed_joint_marginal_copies_mu,mixed_joint_active_deltas_mu,mixed_joint_scratch_bytes_mu,mixed_dual_source_columns_mu
464,2,periodic,3,0,1,1,0,0,0.00000000,61.000,61,12.000,12,12.000,12,0,0.336,0.027,0.117,0.048,0.119,0.025,0,8412.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=465,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=105038,seconds_per_k_symbols=0.000105038,symbols_per_sec=4426969.29,median_init_ns=105018,median_symbols_ns=20,sink=0
# encode_timing_phases,N=465,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9434,median_runtime_ns=30,median_solve_build_ns=10226,median_solve_peel_ns=24707,median_solve_project_ns=16304,median_solve_residual_ns=37036,median_solve_backsub_ns=8223
465,2,periodic,3,0,1,1,0,0,0.00000000,59.000,59,12.000,12,12.000,12,0,0.234,0.027,0.108,0.033,0.057,0.009,0,8573.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=466,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=105819,seconds_per_k_symbols=0.000105819,symbols_per_sec=4403746.02,median_init_ns=105799,median_symbols_ns=30,sink=0
# encode_timing_phases,N=466,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9644,median_runtime_ns=30,median_solve_build_ns=10085,median_solve_peel_ns=27221,median_solve_project_ns=16014,median_solve_residual_ns=34121,median_solve_backsub_ns=8273
466,2,periodic,3,0,1,1,0,0,0.00000000,53.000,53,12.000,12,12.000,12,0,0.276,0.025,0.100,0.041,0.091,0.018,0,7875.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=467,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=124717,seconds_per_k_symbols=0.000124717,symbols_per_sec=3744477.5,median_init_ns=124697,median_symbols_ns=20,sink=0
# encode_timing_phases,N=467,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9534,median_runtime_ns=30,median_solve_build_ns=11057,median_solve_peel_ns=31497,median_solve_project_ns=16965,median_solve_residual_ns=46310,median_solve_backsub_ns=8813
467,2,periodic,3,0,1,1,0,0,0.00000000,65.000,65,12.000,12,12.000,12,0,0.172,0.017,0.056,0.023,0.066,0.010,0,9292.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=468,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=118247,seconds_per_k_symbols=0.000118247,symbols_per_sec=3957817.11,median_init_ns=118227,median_symbols_ns=20,sink=0
# encode_timing_phases,N=468,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10035,median_runtime_ns=30,median_solve_build_ns=10706,median_solve_peel_ns=32019,median_solve_project_ns=16995,median_solve_residual_ns=39409,median_solve_backsub_ns=8553
468,2,periodic,3,0,1,1,0,0,0.00000000,59.000,59,12.000,12,12.000,12,0,0.307,0.027,0.110,0.044,0.109,0.018,0,8584.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=469,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=117647,seconds_per_k_symbols=0.000117647,symbols_per_sec=3986501.99,median_init_ns=117627,median_symbols_ns=20,sink=0
# encode_timing_phases,N=469,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10035,median_runtime_ns=30,median_solve_build_ns=11528,median_solve_peel_ns=31748,median_solve_project_ns=17326,median_solve_residual_ns=38067,median_solve_backsub_ns=8804
469,2,periodic,3,0,1,1,0,0,0.00000000,56.000,56,12.000,12,12.000,12,0,0.336,0.029,0.134,0.047,0.106,0.019,0,8992.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=470,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=118809,seconds_per_k_symbols=0.000118809,symbols_per_sec=3955929.26,median_init_ns=118789,median_symbols_ns=21,sink=0
# encode_timing_phases,N=470,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9775,median_runtime_ns=30,median_solve_build_ns=11047,median_solve_peel_ns=30075,median_solve_project_ns=17536,median_solve_residual_ns=40822,median_solve_backsub_ns=9003
470,2,periodic,3,0,1,1,0,0,0.00000000,63.000,63,12.000,12,12.000,12,0,0.246,0.027,0.105,0.043,0.060,0.010,0,8865.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
